id|people|date|time|duration|lat|lon
2|1,3,5,8,11,13,14,15|1/22/2013|21:29:00 UTC +0000|1:20|40.79245655|-73.95231614
57|12,1|9/12/2012|16:46:00 UTC +0000|8:52|40.74202347|-73.99572754
109|2,3,5,8,1|10/8/2012|18:01:00 UTC +0000|10:04|40.74249268|-73.99568176
117|16,1|10/9/2012|17:08:00 UTC +0000|4:54|40.74171448|-73.99409485
122|10,1|10/10/2012|18:08:00 UTC +0000|12:11|40.74242783|-73.99545288
141|3,5,8,11,1|10/15/2012|17:50:00 UTC +0000|9:56|40.74229431|-73.99525452
149|5,1|10/17/2012|18:25:00 UTC +0000|7:02|40.74235153|-73.99537659
151|7,1|10/18/2012|01:36:00 UTC +0000|0:06|40.72479248|-73.99034119
173|10,1|10/19/2012|22:21:00 UTC +0000|1:56|40.72166443|-73.99745941
190|3,12,1|10/22/2012|13:58:00 UTC +0000|16:34|40.74238586|-73.99541473
196|5,10,1|10/23/2012|14:36:00 UTC +0000|10:04|40.74234772|-73.9956665
206|3,5,1|10/24/2012|14:04:00 UTC +0000|10:36|40.74239731|-73.99546814
229|11,1|10/26/2012|18:10:00 UTC +0000|2:44|40.74234009|-74.00833893
253|3,1|11/7/2012|16:53:00 UTC +0000|8:36|40.74216461|-73.9932785
294|2,1|11/16/2012|03:41:00 UTC +0000|1:17|40.74245453|-73.9957962
309|12,1|11/18/2012|22:11:00 UTC +0000|8:32|40.74211121|-73.99578857
311|2,1|11/19/2012|19:01:00 UTC +0000|12:46|40.74546051|-73.99513245
313|2,10,11,16,1|11/20/2012|18:46:00 UTC +0000|11:59|40.74238205|-73.99549103
315|2,1|11/21/2012|18:40:00 UTC +0000|5:43|40.74526978|-73.99482727
370|7,1|11/26/2012|18:37:00 UTC +0000|11:40|40.74184799|-73.99427795
377|11,1|11/27/2012|21:56:00 UTC +0000|2:48|40.74229813|-73.99581146
381|7,13,1|11/28/2012|16:53:00 UTC +0000|10:12|40.7417717|-73.99369812
404|2,1|12/7/2012|00:46:00 UTC +0000|5:33|40.74225616|-73.99572754
426|11,14,1|12/10/2012|16:51:00 UTC +0000|10:40|40.74240494|-73.99539185
440|3,8,12,13,14,16,1|12/13/2012|00:44:00 UTC +0000|2:02|40.73568726|-73.99692535
455|15,1|12/16/2012|03:14:00 UTC +0000|0:08|40.74240494|-73.99551392
464|14,1|12/19/2012|02:08:00 UTC +0000|0:14|40.76682281|-73.98517609
832|2,1|1/7/2013|21:31:00 UTC +0000|0:11|40.7359944|-73.9928429
841|3,1|1/7/2013|23:02:00 UTC +0000|2:49|40.741141|-73.9942315
842|2,1|1/8/2013|01:51:00 UTC +0000|0:10|40.7425749|-73.9959236
844|12,1|1/8/2013|02:10:00 UTC +0000|0:01|40.7336998|-73.98801422
872|2,11,1|1/9/2013|02:11:00 UTC +0000|0:10|40.7421851|-73.9957269
878|15,1|1/9/2013|02:52:00 UTC +0000|0:09|40.72913361|-73.98727417
896|4,6,11,12,1|1/9/2013|15:01:00 UTC +0000|0:10|40.7398258|-73.9891536
897|2,6,1|1/9/2013|15:11:00 UTC +0000|0:50|40.7397394|-73.9903921
905|14,1|1/9/2013|17:31:00 UTC +0000|0:10|40.7375181|-73.9896773
906|11,1|1/9/2013|17:41:00 UTC +0000|0:30|40.7385823|-73.9918318
907|8,1|1/9/2013|18:11:00 UTC +0000|0:20|40.7408688|-73.9895167
933|15,1|1/10/2013|21:20:00 UTC +0000|0:01|40.74216461|-73.99500275
1017|12,1|1/14/2013|19:52:00 UTC +0000|0:09|40.7422112|-73.9931941
1018|14,1|1/14/2013|20:01:00 UTC +0000|1:04|40.7424679|-73.9954763
1021|10,11,1|1/14/2013|21:24:00 UTC +0000|4:00|40.7419387|-73.9959663
1035|1,6|1/15/2013|22:44:00 UTC +0000|3:50|40.7425079|-73.9955753
1046|3,10,11,14,15,1|1/16/2013|14:54:00 UTC +0000|0:10|40.7398542|-73.9895776
1051|5,1|1/16/2013|17:24:00 UTC +0000|0:50|40.7395728|-73.9907879
1052|6,1|1/16/2013|18:14:00 UTC +0000|0:50|40.740281|-73.9900307
1067|2,1|1/18/2013|05:14:00 UTC +0000|0:30|40.7430802|-73.9963011
1128|5,1|1/19/2013|23:03:00 UTC +0000|1:40|40.7413584|-73.9968611
1129|3,8,1|1/20/2013|00:43:00 UTC +0000|0:40|40.7372475|-73.9965242
1159|2,5,11,1|1/22/2013|21:03:00 UTC +0000|0:10|40.7971139|-73.9506923
1160|5,1,11|1/22/2013|21:13:00 UTC +0000|0:20|40.7922224|-73.9520587
1162|1,11|1/22/2013|21:43:00 UTC +0000|0:20|40.7925822|-73.9525456
1166|4,16,1|1/22/2013|23:13:00 UTC +0000|0:20|40.7686193|-73.9701271
1172|12,1|1/23/2013|00:53:00 UTC +0000|0:10|40.7326575|-73.9844322
1176|2,5,6,11,1|1/23/2013|01:43:00 UTC +0000|0:10|40.7289162|-73.9802185
1187|3,5,7,1|1/23/2013|15:03:00 UTC +0000|0:10|40.7372409|-73.9903496
